"","alpha"
"547",1.16711428693532
"548",0.562195903914954
"549",0.690399788249348
"550",27949.9813256344
"551",995.150323111363
"552",3043.72052978706
"553",2633.31034706123
"554",0.566723299184498
"555",3.16017585353735
"556",1.53007128553864
"557",10539.744470078
"558",1.59925343733749
"559",0.839732125416688
"560",7538.096745959
"561",2.95362719779502
"562",0.535371947980304
"563",13389.1190577794
"564",0.955227287650166
"565",388.662754921141
"566",3.16017585353735
"567",8271.11286025144
"568",0.862412461479308
"569",5485.55680776442
"570",12510.2048642835
"571",0.93240552534959
"572",0.202434002721286
"573",0.617513351361741
"574",7401.11231471687
"575",0.490346459240314
"576",0.562195903914954
"577",21995.5165286438
"578",1.0979700843208
"579",0.673748783768527
"580",4.58507296592562
"581",0.908091529326724
"582",10889.5995371543
"583",1.50594610998397
"584",0.745329047468737
"585",0.862412461479308
"586",5.99455163921656
"587",5485.55680776442
"588",2.65543108614747
"589",0.815879373733023
"590",0.605753549959216
"591",6704.99754518906
"592",1.34442309125643
"593",0.357886415125049
"594",0.820055849928347
"595",0.609467073098247
"596",0.990155584256167
"597",7386.05361274024
"598",3585.84097707182
"599",1.27785447006653
"600",7000.45888983478
"601",1.16446658145586
"602",0.995766581367851
"603",0.477693054497345
"604",1.96426837517328
"605",27949.9813256344
"606",0.4087931786362
"607",0.922691780399738
"608",10894.0021121599
"609",1.0979700843208
"610",3.2293061672825
"611",1.08593268924292
"612",10539.744470078
"613",3249.97566369385
"614",0.722582268589712
"615",21995.5165286438
"616",1066.77761145362
"617",3232.58031248093
"618",1.16711428693532
"619",1.16777222871604
"620",16046.5367668576
"621",4523.27000725835
"622",2.69014374322049
"623",1.7566213237072
"624",3.16017585353735
"625",0.527838736973268
"626",0.768629922415638
"627",6061.91848054736
"628",8372.68695747764
"629",3043.72052978706
"630",4.89627302274882
"631",5736.54649249103
"632",24320.5439408102
"633",9.33364759239734
"634",0.962521189210458
"635",3043.72052978706
"636",0.862412461479308
"637",0.213583855594256
"638",8372.68695747764
"639",2633.31034706123
"640",13389.1190577794
"641",14478.2861973349
"642",1.50594610998397
"643",4312.34304220335
"644",251.342033318108
"645",1798.06985654132
"646",0.604863375608001
"647",36.9811599988887
"648",3.16017585353735
"649",7401.11231471687
"650",5.99455163921656
"651",8855.6155178481
"652",3.16017585353735
"653",1.60064536733906
"654",10539.744470078
"655",1.50594610998397
"656",3.16017585353735
"657",0.825824925273417
"658",10889.5995371543
"659",10138.6761869345
"660",1.34724232671553
"661",24320.5439408102
"662",22114.3735584039
"663",3043.72052978706
"664",7401.11231471687
"665",12510.2048642835
"666",1.59925343733749
"667",10539.744470078
"668",1.16446658145586
"669",0.50513704158466
"670",0.93240552534959
"671",3043.72052978706
"672",24320.5439408102
"673",5172.29713744934
"674",1.50594610998397
"675",0.609906355804134
"676",0.418175014714756
"677",121663.161256908
"678",5647.46150591293
"679",10138.6761869345
"680",3.16017585353735
"681",1.50594610998397
"682",0.68136617843648
"683",9220.31208306689
"684",1.34724232671553
"685",7386.05361274024
"686",21995.5165286438
"687",0.412460220730519
"688",1.7566213237072
"689",16046.5367668576
"690",0.839732125416688
"691",1.13487424174564
"692",1.16446658145586
"693",27949.9813256344
"694",2.14641504757567
"695",251.342033318108
"696",1.50594610998397
"697",1.34098846450999
"698",4.58507296592562
"699",8372.68695747764
"700",6.94282530065884
"701",0.837225584856119
"702",0.754825453116353
"703",5736.54649249103
"704",2929.72041876234
"705",2.69014374322049
"706",7538.096745959
"707",6417.18216155845
"708",0.205005357627727
"709",1.5583310754205
"710",0.509904151580937
"711",7386.05361274024
"712",995.150323111363
"713",5485.55680776442
"714",0.63470040694275
"715",4.58507296592562
"716",2.12346904991041
"717",4.58507296592562
"718",0.314888566779834
"719",1.08593268924292
"720",0.616515168642265
"721",7401.11231471687
"722",0.845483705391309
"723",5.50547003898248
"724",0.689724699189374
"725",6.94282530065884
"726",1.16446658145586
"727",6.94282530065884
"728",4.58507296592562
"729",6498.27974291118
"730",0.862412461479308
"731",1.16777222871604
"732",13084.1751988487
"733",5485.55680776442
