,k
1002,0.003347444
1003,0.004261206
1004,0.00525897
1005,0.008627709
1006,0.00590085
1007,0.002979344
1008,0.005060619
1009,0.005058692
1010,0.004807107
1011,0.00354302
1012,0.002997827
1013,0.005640413
1014,0.003815712
1015,0.006891051
1016,0.004002475
1017,0.006527404
1018,0.002997827
1019,0.005438634
1020,0.006055238
1021,0.003121546
1022,0.006055238
1023,0.004364544
1024,0.003925679
1025,0.003101684
1026,0.006593236
1027,0.005678245
1028,0.003347444
1029,0.002770751
1030,0.002646534
1031,0.005640413
1032,0.005678245
1033,0.005316982
1034,0.004703447
1035,0.002447383
1036,0.004944045
1037,0.005640413
1038,0.004801586
1039,0.005411939
1040,0.002741211
1041,0.004439206
1042,0.003284019
1043,0.004191093
1044,0.006576897
1045,0.003521187
1046,0.003815712
1047,0.003155384
1048,0.004801586
1049,0.004831855
1050,0.004962591
1051,0.003305368
1052,0.004629842
1053,0.004801586
1054,0.002196433
1055,0.00354302
1056,0.003284019
1057,0.002853444
1058,0.004543054
1059,0.006068656
1060,0.00667844
1061,0.003992993
1062,0.012798244
1063,0.004479696
1064,0.002603293
1065,0.0041239
1066,0.003649407
1067,0.005060619
1068,0.004971178
1069,0.002961832
1070,0.003815712
1071,0.002741211
1072,0.005132541
1073,0.002715428
1074,0.004521603
1075,0.003444583
1076,0.004340033
1077,0.006408051
1078,0.008911014
1079,0.004905593
1080,0.003713098
1081,0.003748147
1082,0.00354302
1083,0.005678245
1084,0.002733295
1085,0.005060619
1086,0.003444583
1087,0.004781368
1088,0.003992993
1089,0.003305368
1090,0.003748147
1091,0.003815712
1092,0.006408051
1093,0.00210896
1094,0.003664083
1095,0.003861248
1096,0.003284019
1097,0.00416234
1098,0.005540591
1099,0.003570981
1100,0.003691629
1101,0.001803037
1102,0.003284019
1103,0.002741211
1104,0.004039524
1105,0.002715428
1106,0.005242196
1107,0.004661478
1108,0.004479696
1109,0.003886445
1110,0.003691629
1111,0.003444583
1112,0.006527404
1113,0.003142387
1114,0.00202084
1115,0.001975894
1116,0.003521187
1117,0.00449209
1118,0.0041239
1119,0.003952268
1120,0.003142387
1121,0.003253091
1122,0.0050302
1123,0.003392933
1124,0.002646534
1125,0.003691629
1126,0.009422374
1127,0.003664083
1128,0.002715428
1129,0.002892876
1130,0.004577776
1131,0.005362095
1132,0.0028617
1133,0.003742065
1134,0.005678245
1135,0.003763532
1136,0.008516966
1137,0.004364544
1138,0.006068656
1139,0.002129435
1140,0.002979344
1141,0.003390858
1142,0.003691629
1143,0.004521603
1144,0.006414984
1145,0.003493776
1146,0.001803037
1147,0.003992993
1148,0.005185779
1149,0.004521603
1150,0.004153153
1151,0.003952268
1152,0.003815712
1153,0.004521603
1154,0.008516966
1155,0.004831855
1156,0.002997827
1157,0.004241791
1158,0.00363724
1159,0.00351509
1160,0.002457966
1161,0.004868208
1162,0.007518242
1163,0.004801586
1164,0.004577776
1165,0.006408051
1166,0.005185779
1167,0.003238434
1168,0.00461062
1169,0.004905593
1170,0.005362095
1171,0.002348285
1172,0.005678245
1173,0.005766594
1174,0.003521187
1175,0.003284019
1176,0.004191093
1177,0.003578618
1178,0.004261206
1179,0.003284019
1180,0.003444583
1181,0.003101684
1182,0.002988112
1183,0.003978698
1184,0.002853444
1185,0.005900838
1186,0.005362095
1187,0.006535287
1188,0.005316982
1189,0.002303152
1190,0.005060619
1191,0.003604158
1192,0.003713098
1193,0.007518242
1194,0.004234615
1195,0.004553978
1196,0.004521603
1197,0.003177803
1198,0.003472525
1199,0.003177803
1200,0.003326227
1201,0.003943379
1202,0.004661478
1203,0.003713098
1204,0.00354302
1205,0.003691629
1206,0.0050302
1207,0.003691629
1208,0.003142387
1209,0.003142387
1210,0.00363724
1211,0.003101684
1212,0.00382467
1213,0.004744704
1214,0.004905593
1215,0.002997827
1216,0.002853444
1217,0.003558945
1218,0.004962591
1219,0.003420755
1220,0.002997827
1221,0.002541674
1222,0.002625525
1223,0.006251347
1224,0.004521603
1225,0.002325776
1226,0.005540591
1227,0.004744704
1228,0.003308869
1229,0.00893674
1230,0.003121546
1231,0.004439206
1232,0.00516537
1233,0.009785249
1234,0.00525897
1235,0.005362095
1236,0.002545292
1237,0.003952268
1238,0.00274861
1239,0.008171782
1240,0.008171782
1241,0.003392933
1242,0.004744704
1243,0.003664083
1244,0.005540591
1245,0.002408264
1246,0.004191093
1247,0.004364544
1248,0.004802244
1249,0.006263635
1250,0.003748147
1251,0.003079476
1252,0.004094854
1253,0.003101684
1254,0.005766594
1255,0.004744704
1256,0.003444583
1257,0.007150442
1258,0.009332165
1259,0.003521187
1260,0.004439206
1261,0.003763532
1262,0.003140826
1263,0.005411939
1264,0.00242257
1265,0.004744704
1266,0.007150442
1267,0.004781368
1268,0.00221898
1269,0.004213573
1270,0.003952268
1271,0.004241791
1272,0.003284019
1273,0.006576897
1274,0.002541674
1275,0.003748147
1276,0.007211954
1277,0.007591285
1278,0.003369444
1279,0.003978698
1280,0.003748147
1281,0.00525897
1282,0.00416234
1283,0.00416234
1284,0.00525897
1285,0.004408446
1286,0.003081694
1287,0.004860781
1288,0.004261206
1289,0.002385248
1290,0.006414984
1291,0.003390858
1292,0.004801586
1293,0.005540591
1294,0.00449209
1295,0.005678245
1296,0.003920152
1297,0.004039524
1298,0.004905593
1299,0.004577776
1300,0.003444583
1301,0.006408051
1302,0.003262167
1303,0.007443208
1304,0.003101684
1305,0.005160939
1306,0.003101684
1307,0.003763532
1308,0.003493776
1309,0.003392933
1310,0.003664083
1311,0.008516966
1312,0.003815712
1313,0.005678245
1314,0.004191093
1315,0.007413081
1316,0.00354302
1317,0.004905593
1318,0.003992993
1319,0.003763532
1320,0.003101684
1321,0.00168327
1322,0.004234615
1323,0.002529867
1324,0.003215847
1325,0.011627895
1326,0.006593236
1327,0.00274861
1328,0.005234229
1329,0.004439206
1330,0.006068656
1331,0.007865624
1332,0.004317153
1333,0.008098106
1334,0.003691629
1335,0.006068656
1336,0.003748147
1337,0.003978698
1338,0.004241791
1339,0.002961832
1340,0.003238434
1341,0.003723592
1342,0.00525897
1343,0.00730812
